	uniprot	pdb	region_1	region_2	af_filename	chain	cluster	cf_filename
0	D9N168	3ht3	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-007	D9N168_U10-007_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
1	D9N168	3ht3	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-004	D9N168_U100-004_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
2	D9N168	3ht3	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-005	D9N168_U10-005_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
3	D9N168	3ht3	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-002	D9N168_U100-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
4	D9N168	3ht3	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-009	D9N168_U10-009_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
5	D9N168	3ht3	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-006	D9N168_U100-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_4_seed_000.pdb
6	D9N168	3ht3	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-001	D9N168_U10-001_unrelaxed_rank_001_alphafold2_multimer_v2_model_5_seed_000.pdb
7	D9N168	3ht3	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-006	D9N168_U10-006_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
8	D9N168	3ht3	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-000	D9N168_U100-000_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
9	D9N168	3ht3	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U100-008	D9N168_U100-008_unrelaxed_rank_001_alphafold2_multimer_v2_model_3_seed_000.pdb
10	D9N168	3ht3	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-003	D9N168_U10-003_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
11	D9N168	3ht3	3-169	336-543	AF-D9N168-F1-model_v4.cif	A	U10-002	D9N168_U10-002_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb
