uniprot,cluster,fnat,fnat_correct,fnat_total,fnonnat,fnonnat_nnative,fnonnat_model,irms,lrms,dockq,capri
Q72AS4,183,0.265,9.0,34.0,0.791,34.0,43.0,6.962,13.026,0.203,Incorrect
H6SG27,210,0.0,0.0,0.0,1.0,17.0,17.0,2.018,27.381,0.148,Incorrect
P23687,082,0.612,123.0,201.0,0.584,173.0,296.0,5.222,6.416,0.442,Acceptable
P0AG30,284,0.882,30.0,34.0,0.167,6.0,36.0,0.766,1.225,0.885,High
Q941M3,U10-003,0.0,0.0,14.0,1.0,14.0,14.0,15.434,27.761,0.032,Incorrect
P0AG30,254,0.75,24.0,32.0,0.333,12.0,36.0,1.624,3.073,0.698,Medium
O68880,055,0.871,81.0,93.0,0.1,9.0,90.0,0.734,1.936,0.876,High
E1K248,043,0.056,4.0,71.0,0.911,41.0,45.0,15.412,27.48,0.051,Incorrect
H6SG27,U100-004,0.833,15.0,18.0,0.118,2.0,17.0,0.705,1.416,0.875,High
Q7KLV9,009,0.86,37.0,43.0,0.178,8.0,45.0,1.558,16.078,0.52,Medium
F2Z6J5,222,0.0,0.0,16.0,1.0,50.0,50.0,12.23,21.485,0.05,Incorrect
P23687,359,0.16,30.0,188.0,0.899,266.0,296.0,15.592,17.056,0.123,Incorrect
Q7KLV9,023,0.296,16.0,54.0,0.644,29.0,45.0,6.915,15.792,0.189,Incorrect
P04807,097,0.705,31.0,44.0,0.031,1.0,32.0,1.949,4.608,0.616,Medium
F2Z6J5,012,0.0,0.0,35.0,1.0,50.0,50.0,15.544,24.961,0.038,Incorrect
O68880,004,0.942,81.0,86.0,0.1,9.0,90.0,0.602,1.54,0.924,High
P0AG30,220,0.938,30.0,32.0,0.167,6.0,36.0,0.771,1.195,0.903,High
H6SG27,081,0.0,0.0,0.0,1.0,17.0,17.0,8.452,23.457,0.049,Incorrect
A0A0F7R6G7,U100-005,0.794,27.0,34.0,0.1,3.0,30.0,0.465,0.815,0.899,High
A0A140DJY3,U100-005,0.0,0.0,11.0,1.0,28.0,28.0,14.874,28.305,0.031,Incorrect
P23687,077,0.441,56.0,127.0,0.811,240.0,296.0,6.661,10.109,0.301,Acceptable
,,,,,,,,,,,Incorrect
P04807,073,0.5,27.0,54.0,0.156,5.0,32.0,4.033,7.036,0.405,Acceptable
Q7KLV9,025,0.932,41.0,44.0,0.089,4.0,45.0,2.454,7.281,0.594,Medium
P0AG30,031,0.917,22.0,24.0,0.389,14.0,36.0,1.784,1.601,0.766,Medium
G0WVH3,U100-000,0.879,29.0,33.0,0.033,1.0,30.0,0.4,0.809,0.934,High
H6SG27,265,0.0,0.0,15.0,1.0,17.0,17.0,15.395,56.913,0.01,Incorrect
A0A0F7R6G7,U100-000,0.794,27.0,34.0,0.1,3.0,30.0,0.497,0.84,0.895,High
A0A3B6UEQ0,064,0.0,0.0,38.0,1.0,33.0,33.0,19.464,32.197,0.024,Incorrect
P0AG30,091,0.964,27.0,28.0,0.25,9.0,36.0,1.378,1.309,0.828,High
Q941M3,005,0.0,0.0,0.0,1.0,14.0,14.0,11.422,25.339,0.039,Incorrect
H6SG27,267,0.0,0.0,5.0,1.0,17.0,17.0,11.463,18.119,0.066,Incorrect
Q72AS4,055,0.2,4.0,20.0,0.907,39.0,43.0,8.176,13.962,0.168,Incorrect
Q941M3,014,0.0,0.0,7.0,1.0,14.0,14.0,14.464,23.067,0.043,Incorrect
D9N168,U10-005,0.857,6.0,7.0,0.25,2.0,8.0,0.496,1.198,0.913,High
Q72AS4,096,0.042,1.0,24.0,0.977,42.0,43.0,12.923,21.387,0.064,Incorrect
A0A140DJY3,016,0.0,0.0,2.0,1.0,28.0,28.0,7.697,40.256,0.026,Incorrect
P23687,361,0.455,71.0,156.0,0.76,225.0,296.0,5.752,8.086,0.348,Acceptable
P23687,093,0.252,31.0,123.0,0.895,265.0,296.0,9.108,12.752,0.195,Incorrect
Q51504,U10-007,0.937,59.0,63.0,0.033,2.0,61.0,1.077,1.595,0.854,High
P23687,146,0.315,28.0,89.0,0.905,268.0,296.0,8.268,15.606,0.192,Incorrect
P0AG30,093,0.889,32.0,36.0,0.111,4.0,36.0,1.964,1.584,0.741,Medium
H6SG27,135,0.0,0.0,15.0,1.0,17.0,17.0,5.324,11.715,0.139,Incorrect
H6SG27,232,0.0,0.0,2.0,1.0,17.0,17.0,6.1,22.163,0.062,Incorrect
P0AG30,165,0.806,25.0,31.0,0.306,11.0,36.0,1.802,1.545,0.728,Medium
F2Z6J5,020,0.0,0.0,22.0,1.0,50.0,50.0,13.359,25.117,0.038,Incorrect
H6SG27,071,0.0,0.0,0.0,1.0,17.0,17.0,4.192,19.042,0.093,Incorrect
Q72AS4,016,0.222,2.0,9.0,0.953,41.0,43.0,8.831,16.35,0.154,Incorrect
P23687,253,0.32,62.0,194.0,0.791,234.0,296.0,14.056,19.436,0.164,Incorrect
Q72AS4,161,0.0,0.0,33.0,1.0,43.0,43.0,13.124,28.322,0.032,Incorrect
E1K248,U100-006,0.854,41.0,48.0,0.089,4.0,45.0,0.655,0.933,0.894,High
Q72AS4,185,0.071,3.0,42.0,0.93,40.0,43.0,10.685,23.593,0.069,Incorrect
H6SG27,000,0.0,0.0,3.0,1.0,17.0,17.0,9.265,23.413,0.047,Incorrect
G0WVH3,044,0.0,0.0,0.0,1.0,30.0,30.0,10.017,26.674,0.038,Incorrect
F2Z6J5,101,0.045,1.0,22.0,0.98,49.0,50.0,10.258,18.735,0.079,Incorrect
D9N168,U10-009,0.556,5.0,9.0,0.375,3.0,8.0,0.679,1.928,0.779,Medium
Q9I5E6,001,0.5,38.0,76.0,0.542,45.0,83.0,3.466,6.407,0.432,Acceptable
Q72AS4,151,0.0,0.0,3.0,1.0,43.0,43.0,7.746,26.18,0.044,Incorrect
E1K248,058,0.235,4.0,17.0,0.911,41.0,45.0,8.317,19.144,0.144,Incorrect
P14677,073,0.821,23.0,28.0,0.343,12.0,35.0,2.95,7.025,0.54,Medium
A0A0H2WY27,U10-008,0.878,36.0,41.0,0.122,5.0,41.0,0.788,0.805,0.884,High
H6SG27,251,0.0,0.0,3.0,1.0,17.0,17.0,11.423,31.837,0.028,Incorrect
P14677,079,0.879,29.0,33.0,0.171,6.0,35.0,0.92,12.507,0.64,Medium
A0A0H2WY27,U100-008,0.851,40.0,47.0,0.024,1.0,41.0,0.328,0.862,0.932,High
P04807,187,0.155,9.0,58.0,0.719,23.0,32.0,11.309,16.768,0.126,Incorrect
F2Z6J5,079,0.286,4.0,14.0,0.92,46.0,50.0,11.966,24.319,0.137,Incorrect
E1K248,127,0.133,2.0,15.0,0.956,43.0,45.0,11.117,20.121,0.101,Incorrect
Q9I5E6,047,0.238,20.0,84.0,0.759,63.0,83.0,14.762,26.858,0.113,Incorrect
E1K248,131,0.3,3.0,10.0,0.933,42.0,45.0,11.04,22.84,0.147,Incorrect
P0AG30,280,0.914,32.0,35.0,0.111,4.0,36.0,0.547,0.756,0.93,High
P04807,190,0.103,7.0,68.0,0.781,25.0,32.0,11.082,17.036,0.107,Incorrect
Q72AS4,003,0.087,2.0,23.0,0.953,41.0,43.0,12.413,20.295,0.084,Incorrect
P0AG30,168,0.886,31.0,35.0,0.139,5.0,36.0,0.664,1.09,0.902,High
P23687,162,0.496,66.0,133.0,0.777,230.0,296.0,7.525,12.466,0.284,Acceptable
F2Z6J5,037,0.2,5.0,25.0,0.9,45.0,50.0,12.093,28.401,0.099,Incorrect
Q72AS4,U100-006,0.975,39.0,40.0,0.093,4.0,43.0,0.691,1.904,0.917,High
P23687,U10-000,0.816,240.0,294.0,0.189,56.0,296.0,1.285,1.002,0.793,Medium
E1K248,231,0.24,12.0,50.0,0.733,33.0,45.0,6.822,15.158,0.175,Incorrect
Q72AS4,102,0.222,2.0,9.0,0.953,41.0,43.0,11.082,29.418,0.106,Incorrect
P14677,028,0.769,10.0,13.0,0.714,25.0,35.0,10.129,34.806,0.282,Acceptable
P23687,236,0.403,52.0,129.0,0.824,244.0,296.0,10.671,15.221,0.22,Incorrect
G0WVH3,124,0.0,0.0,2.0,1.0,30.0,30.0,9.419,35.092,0.027,Incorrect
A0A3B6UEQ0,U100-009,0.757,28.0,37.0,0.152,5.0,33.0,1.207,1.87,0.772,Medium
O68880,063,0.849,79.0,93.0,0.122,11.0,90.0,0.776,2.47,0.854,High
P04807,122,0.611,22.0,36.0,0.312,10.0,32.0,5.263,8.162,0.402,Acceptable
Q941M3,001,0.0,0.0,1.0,1.0,14.0,14.0,9.779,47.84,0.018,Incorrect
E1K248,024,0.116,5.0,43.0,0.889,40.0,45.0,14.903,25.348,0.076,Incorrect
E1K248,042,0.235,4.0,17.0,0.911,41.0,45.0,12.421,26.22,0.115,Incorrect
P23687,300,0.431,97.0,225.0,0.672,199.0,296.0,5.098,5.564,0.404,Acceptable
P59676,U10-005,0.971,33.0,34.0,0.057,2.0,35.0,0.401,1.055,0.963,High
F2Z6J5,223,0.25,3.0,12.0,0.94,47.0,50.0,9.906,24.073,0.128,Incorrect
H6SG27,106,0.0,0.0,0.0,1.0,17.0,17.0,4.152,17.521,0.102,Incorrect
H6SG27,U10-003,0.857,12.0,14.0,0.294,5.0,17.0,0.923,2.763,0.829,High
H6SG27,061,0.071,1.0,14.0,0.941,16.0,17.0,5.366,14.449,0.134,Incorrect
P0AG30,055,0.36,9.0,25.0,0.75,27.0,36.0,5.249,13.448,0.24,Acceptable
Q7KLV9,U10-006,0.952,40.0,42.0,0.111,5.0,45.0,1.558,5.488,0.713,Medium
F2Z6J5,211,0.083,2.0,24.0,0.96,48.0,50.0,13.899,21.942,0.075,Incorrect
G0WVH3,163,0.0,0.0,6.0,1.0,30.0,30.0,21.421,25.408,0.035,Incorrect
E1K248,U100-004,0.788,41.0,52.0,0.089,4.0,45.0,0.953,1.389,0.825,High
A0A140DJY3,U10-005,0.444,8.0,18.0,0.714,20.0,28.0,2.052,6.4,0.477,Acceptable
G0WVH3,090,0.0,0.0,2.0,1.0,30.0,30.0,9.167,16.545,0.078,Incorrect
O68880,U10-005,0.966,85.0,88.0,0.056,5.0,90.0,0.379,1.262,0.961,High
P04807,168,0.551,27.0,49.0,0.156,5.0,32.0,2.228,5.075,0.533,Medium
G0WVH3,126,0.0,0.0,0.0,1.0,30.0,30.0,8.2,49.792,0.02,Incorrect
P0AG30,017,0.697,23.0,33.0,0.361,13.0,36.0,2.458,2.611,0.627,Medium
E1K248,250,0.114,4.0,35.0,0.911,41.0,45.0,13.082,20.031,0.093,Incorrect
E1K248,036,0.078,4.0,51.0,0.911,41.0,45.0,15.917,26.843,0.059,Incorrect
O68880,U100-003,0.978,87.0,89.0,0.033,3.0,90.0,0.288,0.711,0.978,High
O60729,U100-005,0.933,70.0,75.0,0.0,0.0,70.0,0.546,1.292,0.931,High
A0A3B6UEQ0,126,0.154,4.0,26.0,0.879,29.0,33.0,10.16,21.509,0.103,Incorrect
P04807,033,0.73,27.0,37.0,0.156,5.0,32.0,1.488,4.147,0.681,Medium
