uniprot	pdb	region_1	region_2	complex_rmsd	percent_region_1	percent_region_2	2_aligned	2_comp	state	conformation	organism	date	notes	chain	af_filename	nstds	non-polymers	has_partner	num_partners	has_nstds	has_nplymrs
P04637	8f2h	364-393	102-292	30.431	100.0	100.0	3.065	70.729	Autoinhibited	Closed	"""Homo sapiens"""	['2022-11-08']		A	F-P04637-F1-model_v3.cif	[]	[]	False	0	False	False
P04637	8f2i	364-393	102-292	30.431	100.0	100.0	3.065	70.729	Autoinhibited	Closed	"""Homo sapiens"""	['2022-11-08']		A	F-P04637-F1-model_v3.cif	[]	[]	False	0	False	False
P07038	1mhs	892-917	562-625	14.225	100.0	100.0	8.246	22.815	Active	Closed	"""Neurospora crassa"""	['2002-08-21']		A	F-P07038-F1-model_v3.cif	[]	[]	False	0	False	False
P07038	7nxf	892-917	562-625	4.914	100.0	100.0	1.812	12.107	Autoinhibited	Closed	"""Neurospora crassa"""	['2021-03-18']	“Phosphorylation of Ser913/Thr914 would disturb the contact between the R domain of one monomer and the adjacent P domain.”(34757782)	A	F-P07038-F1-model_v3.cif	"[""ADENOSINE-5'-DIPHOSPHATE""]"	['POTASSIUM ION', 'MAGNESIUM ION']	False	0	True	True
P07038	7ny1	892-917	562-625	4.914	100.0	100.0	1.812	12.107	Autoinhibited	Closed	"""Neurospora crassa"""	['2021-03-19']		A	F-P07038-F1-model_v3.cif	"[""ADENOSINE-5'-DIPHOSPHATE""]"	['POTASSIUM ION', 'MAGNESIUM ION']	False	0	True	True
Q8NQJ3	2kb3	1-40	68-117	15.371	97.5	100.0	2.552	29.829	Autoinhibited	Closed	Corynebacterium glutamicum	['2008-11-20']		A	F-Q8NQJ3-F1-model_v3.cif	['PHOSPHOTHREONINE']	[]	False	0	True	False
Q8NQJ3	2kb4	1-40	68-117	30.77	100.0	100.0	2.45	61.982	Active	Open	Corynebacterium glutamicum	['2008-11-20']		A	F-Q8NQJ3-F1-model_v3.cif	[]	[]	False	0	False	False
P00579	4llg	2-80	379-449,458-534	13.459	64.5569620253165	100.0	1.75	45.352	Active	Open	Enterobacteria phage T7	['2013-07-09']		F	F-P00579-F1-model_v3.cif	[]	['MAGNESIUM ION', 'ZINC ION']	True	5	False	True
P60240	4s20	1-110	147-416,441-659	11.12	99.0909090909091	99.7955010224949	3.08	29.595	Autoinhibited	Closed	Escherichia coli	['2015-01-16']		K	F-P60240-F1-model_v3.cif	[]	['MAGNESIUM ION', 'ZINC ION']	True	4	False	True
P60240	7m8e	1-110	147-416,441-659	5.106	99.0909090909091	100.0	2.338	11.303	Active	Open	Escherichia coli	['2021-03-29']		F	F-P60240-F1-model_v3.cif	[]	['MAGNESIUM ION', 'ZINC ION']	True	4	False	True
P14633	1na6	26-100	185-404	2.214	94.6666666666667	85.0	1.765	4.067	Autoinhibited	Closed	Escherichia coli	['2002-11-26']		A	F-P14633-F1-model_v3.cif	[]	['WATER']	False	0	False	True
A0A0R4I961	6gtv	155-279	3-147	1.45	100.0	100.0	1.673	1.135	Active	Closed	Escherichia coli F18+	['2018-06-19']		A	F-A0A0R4I961-F1-model_v3.cif	[]	['PENTAETHYLENE GLYCOL', 'WATER', 'alpha-D-mannopyranose', 'DI(HYDROXYETHYL)ETHER']	True	1	False	True
A0A0R4I961	6gtz	155-279	3-147	1.631	100.0	100.0	1.648	3.014	Active	Closed	Escherichia coli F18+	['2018-06-19']		A	F-A0A0R4I961-F1-model_v3.cif	['methyl alpha-D-mannopyranoside']	['WATER', 'alpha-D-mannopyranose']	True	1	True	True
A0A0R4I961	6gu0	155-279	3-147	2.105	100.0	100.0	1.788	4.298	Active	Closed	Escherichia coli F18+	['2018-06-19']		A	F-A0A0R4I961-F1-model_v3.cif	['methyl alpha-D-mannopyranoside']	['WATER', 'alpha-D-mannopyranose', 'SULFATE ION']	True	1	True	True
P00579	4lk1	2-80	379-449,458-534	13.988	79.746835443038	100.0	1.689	46.737	Active	Open	Escherichia coli K-12	['2013-07-05']		F	F-P00579-F1-model_v3.cif	[]	['MAGNESIUM ION', 'ZINC ION']	True	4	False	True
P00579	7khi	2-80	379-449,458-534	18.08	94.9367088607595	100.0	1.653	51.763	Active	Open	Escherichia coli K-12	['2020-10-21']		F	F-P00579-F1-model_v3.cif	[]	"['CHAPSO', ""GUANOSINE-5',3'-TETRAPHOSPHATE"", 'MAGNESIUM ION', 'ZINC ION']"	True	5	False	True
P00579	4zh2	2-80	379-449,458-534	13.987	79.746835443038	100.0	1.687	46.736	Active	Open	Escherichia coli K-13	['2015-04-24']		F	F-P00579-F1-model_v3.cif	[]	"[""N-hydroxy-N'-phenyl-3-(trifluoromethyl)benzenecarboximidamide"", 'MAGNESIUM ION', 'ZINC ION']"	True	4	False	True
P00579	4zh3	2-80	379-449,458-534	13.986	79.746835443038	100.0	1.687	46.745	Active	Open	Escherichia coli K-14	['2015-04-24']		F	F-P00579-F1-model_v3.cif	[]	"[""N'-(3-bromophenyl)-4-fluoro-N-hydroxy-3-(trifluoromethyl)benzenecarboximidamide"", 'MAGNESIUM ION', 'ZINC ION']"	True	4	False	True
P00579	4zh4	2-80	379-449,458-534	13.986	79.746835443038	100.0	1.687	46.772	Active	Open	Escherichia coli K-15	['2015-04-24']		F	F-P00579-F1-model_v3.cif	[]	['5-(4-fluorophenyl)-4-[4-fluoro-3-(trifluoromethyl)phenyl]-1H-pyrazole', 'MAGNESIUM ION', 'ZINC ION']	True	4	False	True
P00523	2ptk	148-245,246-266	81-142,521-533	1.737	100.0	89.3333333333333	1.921	3.093	Autoinhibited	Closed	Gallus gallus	['1997-06-17']		A	F-P00523-F1-model_v3.cif	['O-PHOSPHOTYROSINE']	['WATER']	False	0	True	True
Q00944	2j0j	35-362	422-680	2.641	100.0	95.3667953667954	3.342	1.906	Autoinhibited	Closed	GALLUS GALLUS	['2006-08-03']		A	F-Q00944-F1-model_v3.cif	[]	['1,2,3,4-TETRAHYDROGEN-STAUROSPORINE', 'WATER']	False	0	False	True
Q00944	2j0k	35-362	422-680	1.831	100.0	94.2084942084942	1.203	4.812	Autoinhibited	Closed	GALLUS GALLUS	['2006-08-03']		A	F-Q00944-F1-model_v3.cif	[]	['1,2,3,4-TETRAHYDROGEN-STAUROSPORINE', 'WATER']	False	0	False	True
Q00944	6ty3	35-362	422-680	22.472	99.6951219512195	96.1389961389961	2.501	71.123	Active	Closed	Gallus gallus	['2020-01-15']		A	F-Q00944-F1-model_v3.cif	[]	[]	False	0	False	False
Q00944	6ty4	35-362	422-680	22.518	100.0	100.0	1.803	70.656	Active	Closed	Gallus gallus	['2020-01-15']		A	F-Q00944-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER', 'MAGNESIUM ION']	False	0	False	True
Q04929	2l3s	225-297	133-193	17.591	100.0	96.7213114754098	2.524	22.709	Autoinhibited	Closed	Gallus gallus	['2010-09-21']		A	F-Q04929-F1-model_v3.cif	[]	[]	False	0	False	False
P28482	1pme	173-196	25-172,197-313	2.422	100.0	96.6037735849057	1.22	6.639	Autoinhibited	Closed	Homo sapiens	['1998-06-08']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['WATER', '4-[5-(4-FLUORO-PHENYL)-2-(4-METHANESULFINYL-PHENYL)-3H-IMIDAZOL-4-YL]-PYRIDINE', 'SULFATE ION']	False	0	True	True
P28482	1tvo	173-196	25-172,197-313	2.497	100.0	100.0	1.523	6.633	Autoinhibited	Closed	Homo sapiens	['2004-06-30']		A	F-P28482-F1-model_v3.cif	[]	['5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE', 'WATER']	False	0	False	True
P28482	1wzy	173-196	25-172,197-313	2.515	100.0	100.0	1.768	6.306	Autoinhibited	Closed	Homo sapiens	['2005-03-10']		A	F-P28482-F1-model_v3.cif	[]	['1-ALLYL-5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE', 'WATER']	False	0	False	True
P28482	2y9q	173-196	25-172,197-313	1.967	100.0	100.0	1.261	4.431	Autoinhibited	Closed	HOMO SAPIENS	['2011-02-16']		A	F-P28482-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER', 'WATER']	True	1	False	True
P28482	3sa0	173-196	25-172,197-313	3.34	100.0	98.8679245283019	1.286	6.758	Autoinhibited	Closed	Homo sapiens	['2011-06-02']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['WATER', 'norathyriol', 'SULFATE ION']	False	0	True	True
P28482	3tei	173-196	25-172,197-313	1.647	70.8333333333333	98.4905660377359	1.086	3.565	Autoinhibited	Closed	Homo sapiens	['2011-08-15']		A	F-P28482-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER', 'WATER']	True	1	False	True
P28482	4fmq	173-196	25-172,197-313	2.001	100.0	100.0	1.378	4.521	Autoinhibited	Closed	Homo sapiens	['2012-06-18']		A	F-P28482-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER', 'WATER']	True	1	False	True
P28482	4fux	173-196	25-172,197-313	2.21	100.0	99.622641509434	1.214	6.543	Autoinhibited	Closed	Homo sapiens	['2012-06-28']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['trans-4-{[4-(5-methyl-3-phenyl-1,2-oxazol-4-yl)pyrimidin-2-yl]amino}cyclohexanol', '1,2-ETHANEDIOL', 'WATER', 'SULFATE ION']	False	0	True	True
P28482	4fuy	173-196	25-172,197-313	2.274	100.0	96.6037735849057	1.209	6.625	Autoinhibited	Closed	Homo sapiens	['2012-06-28']		A	F-P28482-F1-model_v3.cif	['S,S-(2-HYDROXYETHYL)THIOCYSTEINE']	['1,2-ETHANEDIOL', '{4-[4-(3,5-dichlorophenyl)-1H-pyrazol-5-yl]-1H-pyrrol-2-yl}(morpholin-4-yl)methanone', 'WATER', 'SULFATE ION']	False	0	True	True
