uniprot	cluster	region_1	region_2	mean_pae_1_1	mean_pae_1_2	mean_pae_2_2
P07038	121	892-917	562-625	7.792	28.729	13.403
P07038	078	892-917	562-625	8.749	28.318	14.084
P07038	074	892-917	562-625	7.456	26.183	11.576
P07038	137	892-917	562-625	8.61	28.146	7.856
P07038	104	892-917	562-625	7.963	31.351	15.682
P07038	117	892-917	562-625	7.572	27.019	9.595
P07038	027	892-917	562-625	7.287	28.066	13.644
P07038	152	892-917	562-625	7.36	26.736	15.438
P07038	124	892-917	562-625	8.327	28.77	17.63
P07038	076	892-917	562-625	7.774	28.242	12.414
P07038	107	892-917	562-625	6.491	23.944	11.527
P07038	004	892-917	562-625	8.938	29.947	14.17
P07038	111	892-917	562-625	6.688	27.096	15.534
P07038	130	892-917	562-625	7.872	25.953	14.815
P07038	165	892-917	562-625	7.949	28.663	11.068
P07038	153	892-917	562-625	7.409	28.722	18.283
P07038	U10-007	892-917	562-625	4.885	25.327	4.121
P07038	U100-004	892-917	562-625	8.138	29.136	3.484
P07038	138	892-917	562-625	8.447	29.72	15.546
P07038	086	892-917	562-625	6.132	23.494	13.729
P07038	157	892-917	562-625	6.925	27.191	12.307
P07038	141	892-917	562-625	7.773	27.401	13.569
P07038	024	892-917	562-625	9.133	29.42	5.32
P07038	093	892-917	562-625	5.993	29.308	5.243
P07038	084	892-917	562-625	8.588	28.54	14.267
P07038	110	892-917	562-625	7.408	27.229	11.356
P07038	091	892-917	562-625	7.186	31.288	15.346
P07038	064	892-917	562-625	6.888	27.492	12.524
P07038	159	892-917	562-625	8.065	25.759	16.065
P07038	U10-006	892-917	562-625	4.525	27.155	15.312
P07038	075	892-917	562-625	6.09	28.993	13.351
P07038	046	892-917	562-625	9.972	28.352	12.932
P07038	140	892-917	562-625	10.03	29.186	10.687
P07038	145	892-917	562-625	6.156	26.326	15.35
P07038	047	892-917	562-625	8.788	28.516	11.365
P07038	U10-002	892-917	562-625	5.93	24.676	4.054
P07038	030	892-917	562-625	6.495	27.681	13.758
P07038	162	892-917	562-625	7.108	28.013	14.504
P07038	072	892-917	562-625	9.213	28.718	8.574
P07038	044	892-917	562-625	8.857	29.764	15.915
P07038	U10-004	892-917	562-625	4.041	26.535	4.492
P07038	025	892-917	562-625	8.136	23.966	6.678
P07038	128	892-917	562-625	6.975	29.082	13.614
P07038	058	892-917	562-625	7.693	27.966	14.668
P07038	057	892-917	562-625	6.821	27.936	13.051
P07038	060	892-917	562-625	7.372	26.176	14.92
P07038	164	892-917	562-625	9.962	27.933	14.867
P07038	029	892-917	562-625	8.005	28.132	13.829
P07038	000	892-917	562-625	4.049	26.59	11.901
P07038	016	892-917	562-625	6.909	28.713	15.514
P07038	037	892-917	562-625	7.045	28.108	15.099
P07038	126	892-917	562-625	8.772	29.182	10.825
P07038	155	892-917	562-625	6.428	27.588	13.614
P07038	089	892-917	562-625	6.668	27.496	10.772
P07038	017	892-917	562-625	7.431	31.136	16.217
P07038	096	892-917	562-625	8.061	27.92	11.855
P07038	013	892-917	562-625	6.789	31.241	15.07
P07038	122	892-917	562-625	9.373	29.589	14.627
P07038	144	892-917	562-625	8.952	28.302	12.903
P07038	022	892-917	562-625	8.843	30.397	13.245
P07038	059	892-917	562-625	6.272	29.374	12.458
P07038	095	892-917	562-625	6.972	28.027	14.269
P07038	045	892-917	562-625	6.102	27.57	8.719
P07038	073	892-917	562-625	10.517	29.694	14.859
P07038	001	892-917	562-625	6.367	25.666	7.474
P07038	002	892-917	562-625	8.981	30.127	13.995
P07038	007	892-917	562-625	5.971	26.729	10.066
P07038	U100-009	892-917	562-625	2.77	9.396	2.824
P07038	067	892-917	562-625	8.057	28.166	10.293
P07038	070	892-917	562-625	6.398	31.118	16.058
P07038	015	892-917	562-625	9.094	28.987	16.009
P07038	010	892-917	562-625	4.613	31.207	13.574
P07038	079	892-917	562-625	6.929	25.562	16.529
P07038	023	892-917	562-625	9.076	30.485	14.808
P07038	139	892-917	562-625	6.24	27.469	19.116
P07038	115	892-917	562-625	7.099	31.222	15.753
P07038	098	892-917	562-625	5.841	26.484	13.393
P07038	102	892-917	562-625	7.474	27.458	16.722
P07038	127	892-917	562-625	9.254	28.919	12.839
P07038	U10-009	892-917	562-625	9.777	26.557	4.071
P07038	136	892-917	562-625	6.458	26.872	14.629
P07038	105	892-917	562-625	8.204	28.873	15.154
P07038	148	892-917	562-625	7.918	28.687	11.113
P07038	142	892-917	562-625	8.117	28.052	14.455
P07038	U10-000	892-917	562-625	11.522	28.191	4.44
P07038	151	892-917	562-625	8.067	28.935	14.415
P07038	154	892-917	562-625	8.81	27.833	10.04
P07038	066	892-917	562-625	6.723	31.163	13.818
P07038	077	892-917	562-625	7.795	29.16	13.827
P07038	041	892-917	562-625	9.913	31.091	12.066
P07038	133	892-917	562-625	8.057	27.412	12.99
P07038	065	892-917	562-625	7.847	27.925	15.884
