uniprot	cluster	region_1	region_2	mean_pae_1_1	mean_pae_1_2	mean_pae_2_2
D9N168	U10-007	3-169	336-543	3.29	6.401	2.989
D9N168	U100-004	3-169	336-543	2.38	4.885	2.823
D9N168	U10-005	3-169	336-543	2.812	5.61	3.005
D9N168	U100-002	3-169	336-543	2.497	5.082	2.806
D9N168	U10-009	3-169	336-543	4.34	7.818	2.91
D9N168	U100-006	3-169	336-543	2.612	5.228	2.757
D9N168	U10-001	3-169	336-543	3.42	6.321	2.941
D9N168	U10-006	3-169	336-543	2.952	6.036	2.984
D9N168	U100-000	3-169	336-543	2.387	4.899	2.763
D9N168	U100-008	3-169	336-543	2.457	4.981	2.753
D9N168	U10-003	3-169	336-543	3.024	6.049	2.989
D9N168	U10-002	3-169	336-543	2.969	6.024	3.067
D9N168	U100-001	3-169	336-543	2.55	5.105	2.756
D9N168	U100-005	3-169	336-543	2.392	4.949	2.792
D9N168	U100-007	3-169	336-543	2.465	5.024	2.775
D9N168	U100-009	3-169	336-543	2.529	5.076	2.807
D9N168	U10-008	3-169	336-543	2.842	5.717	3.019
D9N168	U10-000	3-169	336-543	4.108	7.504	2.988
D9N168	U100-003	3-169	336-543	2.549	5.151	2.754
D9N168	U10-004	3-169	336-543	3.326	6.462	3.205
Q72AS4	065	52-205	237-315	9.598	20.717	18.442
Q72AS4	047	52-205	237-315	8.542	20.2	18.055
Q72AS4	172	52-205	237-315	8.342	15.265	16.46
Q72AS4	034	52-205	237-315	10.907	21.103	18.095
Q72AS4	081	52-205	237-315	11.789	21.588	19.075
Q72AS4	110	52-205	237-315	8.442	15.206	11.287
Q72AS4	178	52-205	237-315	13.119	23.195	19.536
Q72AS4	006	52-205	237-315	11.479	20.1	17.753
Q72AS4	105	52-205	237-315	12.385	22.398	19.818
Q72AS4	137	52-205	237-315	9.884	19.089	16.977
Q72AS4	136	52-205	237-315	9.785	19.675	17.761
Q72AS4	077	52-205	237-315	6.887	18.507	20.062
Q72AS4	151	52-205	237-315	14.083	23.472	19.744
Q72AS4	147	52-205	237-315	14.372	23.251	17.826
Q72AS4	078	52-205	237-315	9.127	19.564	19.343
Q72AS4	163	52-205	237-315	10.997	22.011	20.078
Q72AS4	083	52-205	237-315	13.139	23.046	18.223
Q72AS4	162	52-205	237-315	11.751	21.688	18.195
Q72AS4	089	52-205	237-315	12.445	20.317	16.027
Q72AS4	063	52-205	237-315	12.27	22.675	17.28
Q72AS4	010	52-205	237-315	3.825	5.939	4.893
Q72AS4	111	52-205	237-315	10.253	21.438	18.889
Q72AS4	140	52-205	237-315	9.32	19.451	17.099
Q72AS4	094	52-205	237-315	4.063	12.773	16.61
Q72AS4	199	52-205	237-315	11.636	21.89	17.749
Q72AS4	000	52-205	237-315	11.377	22.871	18.733
Q72AS4	168	52-205	237-315	12.896	23.129	19.449
Q72AS4	025	52-205	237-315	6.342	12.038	13.414
Q72AS4	058	52-205	237-315	6.268	18.052	15.179
Q72AS4	146	52-205	237-315	9.768	21.53	18.732
Q72AS4	017	52-205	237-315	7.817	15.694	17.541
Q72AS4	024	52-205	237-315	6.464	15.281	16.314
Q72AS4	052	52-205	237-315	7.976	18.336	18.818
Q72AS4	036	52-205	237-315	11.608	21.446	18.923
Q72AS4	029	52-205	237-315	5.724	17.327	18.757
Q72AS4	183	52-205	237-315	7.561	16.34	16.939
Q72AS4	088	52-205	237-315	12.081	23.198	19.688
Q72AS4	046	52-205	237-315	11.292	19.018	16.433
Q72AS4	072	52-205	237-315	6.526	20.243	21.067
Q72AS4	184	52-205	237-315	11.171	20.184	16.186
Q72AS4	013	52-205	237-315	12.723	23.017	19.839
Q72AS4	152	52-205	237-315	9.572	17.49	17.123
Q72AS4	U10-009	52-205	237-315	5.118	13.515	17.004
Q72AS4	092	52-205	237-315	13.223	23.171	19.09
Q72AS4	096	52-205	237-315	13.91	22.932	16.726
Q72AS4	064	52-205	237-315	7.681	16.287	17.775
Q72AS4	112	52-205	237-315	13.053	21.538	18.52
Q72AS4	118	52-205	237-315	10.726	22.859	20.356
Q72AS4	153	52-205	237-315	7.664	18.017	17.435
Q72AS4	182	52-205	237-315	7.692	16.863	16.952
Q72AS4	193	52-205	237-315	13.246	23.425	20.542
Q72AS4	U100-000	52-205	237-315	2.611	4.146	3.291
Q72AS4	087	52-205	237-315	9.633	21.504	18.596
Q72AS4	194	52-205	237-315	9.616	21.422	18.209
Q72AS4	U10-002	52-205	237-315	6.651	10.832	8.697
Q72AS4	055	52-205	237-315	9.836	19.138	18.797
Q72AS4	180	52-205	237-315	12.268	21.662	19.8
Q72AS4	053	52-205	237-315	10.483	22.03	19.621
Q72AS4	113	52-205	237-315	7.909	20.706	18.71
Q72AS4	101	52-205	237-315	11.149	21.568	18.178
Q72AS4	U10-000	52-205	237-315	5.024	11.576	13.482
Q72AS4	127	52-205	237-315	10.514	18.874	18.311
Q72AS4	135	52-205	237-315	12.973	20.024	17.801
Q72AS4	007	52-205	237-315	4.807	13.584	16.769
Q72AS4	023	52-205	237-315	5.804	16.375	17.153
Q72AS4	042	52-205	237-315	13.358	23.777	16.008
Q72AS4	048	52-205	237-315	7.699	17.975	18.039
Q72AS4	158	52-205	237-315	11.464	21.283	16.141
Q72AS4	122	52-205	237-315	11.028	21.817	17.268
Q72AS4	038	52-205	237-315	13.127	22.164	18.007
Q72AS4	176	52-205	237-315	10.876	21.23	19.279
Q72AS4	086	52-205	237-315	12.15	24.164	16.178
Q72AS4	100	52-205	237-315	13.695	23.529	19.389
Q72AS4	160	52-205	237-315	11.123	21.315	17.793
Q72AS4	031	52-205	237-315	9.148	20.477	19.152
Q72AS4	026	52-205	237-315	4.747	11.577	11.794
Q72AS4	004	52-205	237-315	11.137	21.792	19.69
Q72AS4	003	52-205	237-315	12.959	20.819	18.489
