uniprot,cluster,fnat,fnat_correct,fnat_total,fnonnat,fnonnat_nnative,fnonnat_model,irms,lrms,dockq,capri
P35520,111,0.052,4.0,77.0,0.92,46.0,50.0,18.864,40.493,0.033,Incorrect
P32527,U100-002,0.933,42.0,45.0,0.045,2.0,44.0,0.308,0.496,0.963,High
P00579,U100-004,0.0,0.0,0.0,0.0,0.0,0.0,11.098,43.025,0.019,Incorrect
P62826,099,0.333,1.0,3.0,0.5,1.0,2.0,15.162,53.358,0.123,Incorrect
P53686,031,0.0,0.0,4.0,1.0,42.0,42.0,7.142,19.406,0.068,Incorrect
P28482,086,0.2,13.0,65.0,0.817,58.0,71.0,13.879,22.935,0.111,Incorrect
P28482,231,0.356,21.0,59.0,0.704,50.0,71.0,14.382,7.437,0.311,Acceptable
O76074,U100-004,1.0,5.0,5.0,0.286,2.0,7.0,1.263,5.747,0.757,Medium
,,,,,,,,,,,Incorrect
P28482,065,0.327,18.0,55.0,0.746,53.0,71.0,13.768,23.787,0.151,Incorrect
P12931,135,0.0,0.0,9.0,1.0,60.0,60.0,12.986,49.53,0.014,Incorrect
Q58719,U10-001,0.663,55.0,83.0,0.167,11.0,66.0,6.798,21.938,0.28,Acceptable
O76074,005,0.714,5.0,7.0,0.286,2.0,7.0,2.38,11.503,0.451,Acceptable
P28482,089,0.312,20.0,64.0,0.718,51.0,71.0,14.855,13.997,0.197,Incorrect
D2AJU0,007,0.0,0.0,5.0,1.0,40.0,40.0,17.697,28.665,0.029,Incorrect
P62826,001,1.0,1.0,1.0,0.5,1.0,2.0,1.802,22.53,0.511,Medium
P00523,158,0.0,0.0,39.0,1.0,63.0,63.0,15.543,29.706,0.028,Incorrect
P28482,001,0.571,48.0,84.0,0.324,23.0,71.0,1.787,3.665,0.609,Medium
P00523,130,0.0,0.0,5.0,1.0,63.0,63.0,16.229,51.506,0.012,Incorrect
Q96BN8,009,0.189,14.0,74.0,0.874,97.0,111.0,13.462,50.948,0.076,Incorrect
B5XAZ0,051,0.333,3.0,9.0,0.889,24.0,27.0,7.026,14.87,0.208,Incorrect
P31016,012,0.0,0.0,3.0,1.0,11.0,11.0,16.875,59.131,0.009,Incorrect
Q63450,052,0.561,46.0,82.0,0.37,27.0,73.0,10.656,23.068,0.233,Acceptable
Q63450,166,0.0,0.0,8.0,1.0,73.0,73.0,13.962,45.999,0.015,Incorrect
P62826,028,1.0,1.0,1.0,0.5,1.0,2.0,1.562,19.444,0.547,Medium
P21333,U10-007,1.0,5.0,5.0,0.94,78.0,83.0,2.691,30.264,0.437,Acceptable
P14633,U10-006,0.0,0.0,0.0,1.0,13.0,13.0,2.734,8.653,0.241,Acceptable
P27577,012,0.565,13.0,23.0,0.705,31.0,44.0,5.383,13.96,0.303,Acceptable
,,,,,,,,,,,Incorrect
P35520,U10-009,0.872,34.0,39.0,0.32,16.0,50.0,14.126,32.554,0.316,Acceptable
Q02750,U100-007,0.945,69.0,73.0,0.179,15.0,84.0,2.146,1.355,0.75,Medium
Q83RJ4,001,0.0,0.0,0.0,1.0,43.0,43.0,22.902,34.366,0.021,Incorrect
B5XAZ0,106,0.611,11.0,18.0,0.593,16.0,27.0,7.315,26.402,0.248,Acceptable
Q3KK31,107,0.087,2.0,23.0,0.982,108.0,110.0,12.545,35.754,0.052,Incorrect
B5XAZ0,005,0.963,26.0,27.0,0.037,1.0,27.0,0.852,0.753,0.904,High
Q58719,U100-001,0.753,61.0,81.0,0.076,5.0,66.0,5.025,13.23,0.376,Acceptable
Q83RJ4,013,0.0,0.0,0.0,1.0,43.0,43.0,17.889,31.606,0.025,Incorrect
Q63450,215,0.0,0.0,8.0,1.0,73.0,73.0,9.112,19.856,0.06,Incorrect
P22681,U100-003,0.621,18.0,29.0,0.6,27.0,45.0,5.065,8.834,0.394,Acceptable
,,,,,,,,,,,Incorrect
O76074,U100-008,0.625,5.0,8.0,0.286,2.0,7.0,2.608,7.027,0.489,Acceptable
Q6GQQ9,U100-007,0.769,10.0,13.0,0.744,29.0,39.0,2.624,23.987,0.376,Acceptable
P00523,152,0.0,0.0,47.0,1.0,63.0,63.0,14.622,51.074,0.012,Incorrect
