uniprot,pdb,fnat,fnat_correct,fnat_total,fnonnat,fnonnat_nnative,fnonnat_model,irms,lrms,dockq,capri
P28482,4qp6,0.937,59.0,63.0,0.234,18.0,77.0,1.448,3.296,0.774,Medium
P62826,5uwh,1.0,2.0,2.0,0.5,2.0,4.0,1.059,40.329,0.57,Medium
Q8IXJ6,4r8m,1.0,76.0,76.0,0.026,2.0,78.0,0.447,0.817,0.97,High
P28482,6gjb,0.845,60.0,71.0,0.455,50.0,110.0,2.546,5.751,0.596,Medium
P28482,7nr3,0.831,59.0,71.0,0.459,50.0,109.0,2.553,5.71,0.592,Medium
P62826,7mo3,0.0,0.0,2.0,1.0,67.0,67.0,4.184,63.709,0.044,Incorrect
Q9UM73,5iui,0.852,46.0,54.0,0.27,17.0,63.0,2.772,3.879,0.635,Medium
Q02750,3w8q,0.881,74.0,84.0,0.213,20.0,94.0,7.148,2.044,0.623,Medium
P28482,5v61,0.855,59.0,69.0,0.344,31.0,90.0,2.284,5.543,0.619,Medium
Q06124,6bn5,0.868,59.0,68.0,0.078,5.0,64.0,0.64,0.52,0.903,High
Q96FI4,4nrv,0.978,132.0,135.0,0.057,8.0,140.0,0.865,0.584,0.908,High
P28482,6dmg,0.831,59.0,71.0,0.443,47.0,106.0,2.53,5.619,0.596,Medium
P62826,6m60,0.5,1.0,2.0,0.75,3.0,4.0,0.866,39.059,0.432,Acceptable
Q02750,4anb,0.938,76.0,81.0,0.126,11.0,87.0,1.036,1.19,0.865,High
P08631,4lud,0.844,27.0,32.0,0.0,0.0,27.0,0.713,1.221,0.88,High
P21333,4p3w,0.103,3.0,29.0,0.812,13.0,16.0,15.713,49.493,0.047,Incorrect
Q9H7B4,8owo,0.964,53.0,55.0,0.054,3.0,56.0,0.199,0.562,0.981,High
P35520,4l28,0.646,31.0,48.0,0.0,0.0,31.0,4.494,37.681,0.265,Acceptable
Q06124,8t6g,0.882,67.0,76.0,0.095,7.0,74.0,0.44,0.91,0.93,High
Q02750,3wig,0.949,74.0,78.0,0.086,7.0,81.0,1.376,0.879,0.827,High
P28482,7opm,0.826,57.0,69.0,0.337,29.0,86.0,2.278,5.491,0.611,Medium
P62826,6a3c,1.0,2.0,2.0,0.5,2.0,4.0,1.022,38.785,0.576,Medium
P14921,1gvj,0.962,25.0,26.0,0.194,6.0,31.0,6.325,23.902,0.376,Acceptable
P62826,3gj3,0.0,0.0,2.0,1.0,63.0,63.0,4.16,59.989,0.045,Incorrect
P62826,4hb4,0.5,1.0,2.0,0.667,2.0,3.0,1.158,38.606,0.391,Acceptable
P28482,6g93,0.845,60.0,71.0,0.459,51.0,111.0,2.503,5.451,0.606,Medium
Q6SZW1,6zfx,0.83,44.0,53.0,0.228,13.0,57.0,1.315,2.025,0.781,Medium
Q06124,6mda,0.96,72.0,75.0,0.065,5.0,77.0,0.318,0.409,0.972,High
Q8IXJ6,5yql,0.987,76.0,77.0,0.095,8.0,84.0,0.815,0.946,0.916,High
O00571,5e7m,0.818,63.0,77.0,0.031,2.0,65.0,3.211,8.123,0.507,Medium
P62826,5cj2,0.0,0.0,2.0,1.0,58.0,58.0,4.275,56.431,0.044,Incorrect
Q9UM73,2yhv,0.878,43.0,49.0,0.271,16.0,59.0,2.542,3.53,0.663,Medium
Q06124,6mdc,0.907,68.0,75.0,0.093,7.0,75.0,0.314,0.412,0.954,High
Q8NB16,6zpr,0.447,17.0,38.0,0.37,10.0,27.0,2.256,3.195,0.543,Medium
Q9UM73,7btt,0.831,49.0,59.0,0.355,27.0,76.0,2.989,5.193,0.587,Medium
P31749,6hhi,0.385,10.0,26.0,0.897,87.0,97.0,7.575,22.056,0.184,Incorrect
P28482,8aod,0.845,60.0,71.0,0.459,51.0,111.0,2.674,5.794,0.589,Medium
Q5Y4Y6,5b5r,0.705,55.0,78.0,0.433,42.0,97.0,4.032,4.75,0.53,Medium
P62826,6x2w,0.5,1.0,2.0,0.75,3.0,4.0,1.109,40.158,0.397,Acceptable
P28482,6q7k,0.845,60.0,71.0,0.444,48.0,108.0,2.445,5.541,0.607,Medium
Q06124,8u7x,0.921,70.0,76.0,0.054,4.0,74.0,0.44,0.76,0.945,High
P11142,5aqt,0.925,37.0,40.0,0.051,2.0,39.0,0.387,0.519,0.953,High
P18654,4mao,0.933,42.0,45.0,0.16,8.0,50.0,0.85,1.764,0.883,High
Q02750,5hze,0.94,79.0,84.0,0.122,11.0,90.0,1.255,1.201,0.836,High
Q02750,7b7r,0.988,79.0,80.0,0.081,7.0,86.0,1.288,0.672,0.852,High
Q8IXJ6,4rmi,0.948,73.0,77.0,0.11,9.0,82.0,0.841,0.663,0.901,High
Q96FI4,1tdh,0.978,132.0,135.0,0.029,4.0,136.0,0.851,0.61,0.91,High
